,Tweeted Date,Tweet Description
133,2020-08-30,❤️❤️❤️❤️ https://t.co/LdQnp37w1C
134,2020-08-27,"RT @jamiestaffsays: Jamie – Numbers
2020.09.03
18:00 KST
#JAMIE #JAMIEPARK #제이미 #NUMBERS #넘버스 https://t.co/DLnLIaeGQy"
135,2020-08-26,❗️#numbers https://t.co/jPORsQJTG3
136,2020-08-25,🍒 #numbers https://t.co/bqgElQ5SqU
137,2020-08-25,@jamiestaffsays 오빠 맛있게 드셨자나요...🥺
138,2020-08-24,🥰🥰 https://t.co/IyqFXdl82y
139,2020-08-24,👏🏻💗 https://t.co/Ek8aq4YKMi
140,2020-08-23,@jamiestaffsays I saw that
141,2020-08-23,NUMBERS @jamiestaffsays 💗 https://t.co/XFNmwJ4iJ8
142,2020-08-19,So what’s ur guess
143,2020-08-19,🤔 https://t.co/e5OKkYBQCI
144,2020-08-19,https://t.co/SytVzkZX5Y 💙🥺
145,2020-08-01,This song is always BOP https://t.co/jRVqkJyVc2
146,2020-07-31,@jamiebabyj ❤️ https://t.co/YsDW7d0Sgr
147,2020-07-31,@wonuies 🥺 https://t.co/eE4alLzyLs
148,2020-07-31,💟💟💟 https://t.co/5REGcgviRL
149,2020-07-31,@jamie_babyJ @dingo_official 오타 난듯..;
150,2020-07-31,🥺🥺🥺🥺🥺🥺🥺🥺 https://t.co/Rl7okgoruj
151,2020-07-27,Had so much fun 🙏🏻🔥 https://t.co/UX4TFh7bxE
152,2020-07-25,My Last ep with 올때밐😭 https://t.co/QbApdcPwqT
153,2020-07-23,Hmmmmmm https://t.co/r4lzePvSPy
154,2020-07-17,@Jae_Day6 Are you talking about one of the Kpopstar days ? I mean me too
155,2020-07-14,@day6vz @lovejamiepark 에구...
156,2020-07-11,Hi https://t.co/tMShRjVwIU
157,2020-07-08,@mingkki21 헹헹! 언니이🥺❤️
158,2020-07-08,Busy? https://t.co/eoB9XR3Noa
159,2020-07-07,https://t.co/OtZnkXVdHo REAL FRIENDS COVER W/soovi
160,2020-07-07,https://t.co/hag6NfiwRm If u want to watch me for 15min straight 🤪
161,2020-07-06,I meann CAMPFIRE? https://t.co/6IlEI1RnE0
162,2020-07-05,"RT @idolradiokorea: 7/6 ~ 7/12 #아이돌라디오 출연진

6(월) AB6IX
7(화) 위클리
8(수) 써드아이
9(목) SF9 
10(금) 솔지,치타,제이미
11(토) GOT7 영재, DAY6 영케이
12(일) 솔지,제이미 ht…"
163,2020-07-05,🖤LOVE YOU🖤 https://t.co/ZF9DYxZvr0
164,2020-07-05,@kevinwoo91 🥺🙏🏻😭
165,2020-07-04,😭🥺❤️❤️💙💙 https://t.co/bWzMz112Ja
166,2020-07-03,Wow seeing babyJ’s profile pic as me is literally so cute ... I feel blessed 🥰 Thankyou
167,2020-07-03,Did u like diss https://t.co/mi2m1Tjuhd
168,2020-07-02,"RT @mnet_hiphop: [8회] #제이미 X #치타 - Moonlight @슈퍼 퀘스트 1R 

GOOD GIRL vs Mnet
′센′ 여자 뮤지션들이 뭉쳐 펼치는 힙합 리얼리티 뮤직쇼

＜GOOD GIRL : 누가 방송국을 털었나＞
그동안…"
169,2020-07-02,https://t.co/3m1YI65EFO NEW EPISODE!!! 올때밐 W/ hilite records
170,2020-07-01,@leehi_hi Do you miss me🥺
171,2020-07-01,https://t.co/8zWMUDM8V3 haiR FLEX
172,2020-06-26,"No one :
Literally no one :                                                       Baby J’s : EAT ME"
173,2020-06-26,배고파 뭐 먹지
174,2020-06-25,우리랑 같이 놀래? https://t.co/Q7P8VZwEeS
175,2020-06-23,https://t.co/iccJMP4ITw You are latee🔥🔥
176,2020-06-22,JUNE 23rd “ FOR A MINUTE”
177,2020-06-20,아니 이게 뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/aQFfWqEsWw
178,2020-06-18,https://t.co/5a8yzyDfSE 👅👅👅👅👅👅👅👅👅
179,2020-06-18,굿걸 11시인거 알지~?
180,2020-06-17,@artchixkilogram This is so.. cute....
181,2020-06-16,😏 https://t.co/ELHputFyT1
182,2020-06-15,"RT @artchixkilogram: If I can keep this mood I'll make a whole chibi arts for Jamie gg's outfit 😂
Not promise tho 😂😂
Lesee 😂😂
#Artchillustr…"
183,2020-06-13,I love sweet 🌽
184,2020-06-12,"Feelin cute, might delete later https://t.co/vWXUGXEEy4"
185,2020-06-08,레G나 죠지 같다는말 많이 들은 날 https://t.co/XAjfj6hGwA
186,2020-06-04,https://t.co/w0mdCaTHGJ ❤️NEW SONG TMMR❤️
187,2020-06-04,Colors🥰 https://t.co/uNFAgS4vgy
188,2020-06-03,"기부와 주변인들에게 알려주는 것, 그 어떤 방법이든 여러분의 목소리로, 여러분의 행동으로 보여주셨으면 좋겠습니다. 
https://t.co/h1Jg96ENml
https://t.co/Lh4kRCf7qz #BlackLivesMattter"
189,2020-06-03,"Black Lives Matter 운동은 전 세계 모든 사람들의 도움이 필요합니다. 제 팬분들과 동료 음악 산업 친구들, 동료들, 그리고 대한민국인으로써 왜 이 운동이 중요하고 필요한지 그리고 깊이 이해할… https://t.co/uat6tbN3ox"
190,2020-06-03,"Black Lives Matter는 단지 조지 플루이드를 잔인하게 살해한 것에 그치는 것이 아닌,미국 정부가 끊임없이 무시하고 단지 피부색 때문에 인간에 대한 조직적인 학대를 적극적으로 허용하는 것에 관한… https://t.co/GOI9PZbfnO"
191,2020-06-03,"누릴 수 있었던 즐거움과 다양한 경험을 토대로 음악인의 길을 걷게 되신 분들도 많습니다. 단지 피하거나 침묵을 통해 지나쳐서는 안됩니다. 이 것은 인간으로써의 권리를 지지하는 것이며, 전세계적으로 음악 산업… https://t.co/mTwh0YRV3s"
192,2020-06-03,‘Black Lives Matter(흑인의 목숨도 소중하다)’ 운동이 얼마나 중요한지 그리고 왜 관심을 갖고 동참을 해야하는지에 대해 도움을 드리고 싶었습니다. 한국의 다양한 산업은  흑인 음악 뿐 만 아니… https://t.co/Vl6rgngB4b
193,2020-06-03,"저는 K-Pop 음악산업에 관계자 분들이 이 일에 대해 전혀 마음을 쓰지 않고 있다고는 생각하지 않습니다.
온 신경을 쏟기엔 충분히 공감할 수 있을 만큼 잘 알고 있지 않을 뿐이라고 생각합니다.그래서 저는… https://t.co/jkdn4j3yYn"
194,2020-06-03,"안녕하세요 여러분, 
지난 며칠 동안 저는 미국에서 일어나고 있는 일들로
많은 생각을 하게 되었습니다. 저는 사람들이 이 일에 대해 반드시 모두가 알아야 하는 일이라고 생각하기에, 더더욱 글을 올리기 전에… https://t.co/kkM2CjT5dd"
195,2020-06-01,"RT @mnet_hiphop: [4회/예고] #더콰이엇의 프로듀싱! 굿걸의 첫 번째 퀘스트 결과는?! I 목요일 밤 9시 30분

GOOD GIRL vs Mnet
'센' 여자 뮤지션들이 뭉쳐 펼치는 힙합 리얼리티 뮤직쇼

＜#GOODGIRL : #누…"
196,2020-05-29,💜 anyways love you all 💜 https://t.co/ptoapB36AT
197,2020-05-29,* in Thailand I miss Thailand.. so much..
198,2020-05-29,Wow it’s happening again. I want Thai food .. sooo... bad... wow...
199,2020-05-29,I go with ENFP🤟🏻 https://t.co/L37y9tnUrz
